Track Name,Artist Name(s),Genre
Reload - Radio Edit,"Sebastian Ingrosso, Tommy Trash, John Martin","edm, electro house, pop dance, progressive electro house, progressive house, aussietronica, australian dance, complextro, dutch house, edm, electro house, melbourne bounce, pop dance, progressive electro house, progressive house, pop edm"
Good Things Fall Apart (with Jon Bellion),"ILLENIUM, Jon Bellion","edm, melodic dubstep, pop dance, indie pop rap"
In Your Arms (with X Ambassadors),"ILLENIUM, X Ambassadors","edm, melodic dubstep, pop dance, modern alternative rock, modern rock, stomp pop"
Going Dumb,"Alesso, CORSAK","dance pop, edm, pop, pop dance, progressive electro house, chinese electropop"
Midnight (feat. Liam Payne),"Alesso, Liam Payne","dance pop, edm, pop, pop dance, progressive electro house, pop"
Save Me (feat. Adara),"Adventure Club, Adara","brostep, canadian electronic, complextro, edm, electro house, filthstep, pop dance, N/A"
Crash 2.0,"Adventure Club, DallasK","brostep, canadian electronic, complextro, edm, electro house, filthstep, pop dance, complextro, dutch house, electro house, pop edm, progressive electro house, sky room"
Feed The Fire - Kassian Remix,"SG Lewis, Lucky Daye, Kassian","electropop, indie soul, nu disco, uk dance, vapor soul, alternative r&b, r&b, N/A"
Falling,"Lipless, Mahalo, Carly Paige","N/A, N/A, la pop"
Inner Light,"Elderbrook, Bob Moses","uk dance, canadian electronic, canadian house"
The Longest Road - Steff Da Campo Remix,"Morgan Page, Lissie, Steff da Campo","edm, electro house, pop dance, progressive house, folk-pop, dutch house, electro house, pop edm, sky room"
Chains Chilled (with Project 46),"Kaskade, Project 46","edm, electro house, pop dance, progressive electro house, progressive house, vocal house, complextro, electro house, pop edm, progressive electro house"
By My Side,"MitiS, Tedy","chillstep, complextro, filthstep, melodic dubstep, pop edm, N/A"
You Could Be,"Anz, George Riley","experimental club, indie r&b"
Move - Edit,"Flight Facilities, DRAMA","aussietronica, australian dance, australian indie, indietronica, nu disco, indie soul"
Cotton Candy Lemonade (Anna Lunoe Remix),"Anna Lunoe, Blu DeTiger","electra, nu disco, N/A"
Let A Little Light In - RobbieG Remix,"Everyone You Know, RobbieG","london indie, N/A"
Used To Be - Rasster Remix,"GASHI, Rasster","canadian hip hop, N/A"
Pressure (feat. MAO),"King Topher, MUNNDAY, mao","N/A, N/A, N/A"
In My Head,"Nepsa, Abigail Villanueva","N/A, N/A"
This Place,obylx,N/A
Harder,Reboost,N/A
Feel It,HGZ,uk dance
Lucifer,Rezz,"brostep, canadian electronic, edm, electra, electro house"
Hackers,Metrik,"dancefloor dnb, drum and bass"
Never Be the Same,"Sons Of Maria, Agatha Saron","deep tropical house, tropical house, N/A"
Say My Name,"Matvey Emerson, NEVRMIND","groove room, N/A"
Drop That Skirt - Original Mix,Croatia Squad,house
Let It Be (feat. Veela),"Blackmill, Veela","chillstep, substep, chillstep"
Scared,"SABAI, Claire Ridgely","N/A, montreal indie"
SHADOW SELF,LSDREAM,N/A
LOVELIFE (with Jeremih),"Benny Benassi, Jeremih","edm, electro house, pop dance, chicago rap, pop rap, r&b, trap, urban contemporary"
Dreams (feat. Lanie Gardner),"David Guetta, MORTEN, Lanie Gardner","big room, dance pop, edm, pop, pop dance, danish electronic, scandipop, N/A"
Into My Bed,"Harpoon, Sammi Constantine","N/A, N/A"
Promises (with Sam Smith),"Calvin Harris, Sam Smith, Jessie Reyez","dance pop, edm, electro house, house, pop, pop dance, progressive house, uk dance, pop, uk pop, canadian contemporary r&b, canadian pop"
Absolute Zero,Ahmed Helmy,N/A
Body on Fire,"Dillistone, NOËP","pop edm, estonian electronic, estonian pop"
Live a Little (Remix),"BONNIE X CLYDE, Joysic","electra, N/A"
Home,"Mom N Dad, Marquette King","N/A, N/A"
Heart,"OTR, Shallou","stutter house, electropop, indie electropop"
I Was Lovin' You (feat. Dots Per Inch & Ayak) - TS7 Remix,"James Hype, Ayak, Dots Per Inch, TS7","deep groove house, house, pop dance, uk dance, N/A, N/A, bass house, bassline, old school bassline"
ME N U,"CID, Riddim Commission","bass house, deep groove house, dutch house, edm, electro house, house, pop dance, pop edm, progressive electro house, progressive house, tech house, uk dance, bass house, bassline, old school bassline"
I Need Your Love,"Riddim Commission, TS7, Syleena Johnson","bass house, bassline, old school bassline, bass house, bassline, old school bassline, contemporary r&b, neo soul, r&b, urban contemporary"
Cold Blooded,ZHU,"edm, electro house"
BOOM,"Tiësto, Sevenn, Gucci Mane","big room, brostep, dutch edm, edm, house, pop dance, slap house, trance, brazilian edm, atl hip hop, dirty south rap, hip hop, pop rap, rap, southern hip hop, trap"
Somebody New,TELYKAST,N/A
Falls - Gigamesh Remix,"Bayonne, Gigamesh","austindie, electrofox, filter house, nu disco"
Here Right Now,"George Michelle, GAUCI","N/A, australian indie"
Down On Me,"Jeremih, 50 Cent","chicago rap, pop rap, r&b, trap, urban contemporary, east coast hip hop, gangster rap, hip hop, pop rap, queens hip hop, rap"
Common Ground,"TWO LANES, Keiynan","uk dance, N/A"
One Day They'll Know (ODESZA Remix),Pretty Lights,"glitch hop, jazztronica, livetronica"
Rush Over Me,"Seven Lions, ILLENIUM, Said The Sky, HALIENE","brostep, complextro, dubstep, edm, electro house, melodic dubstep, pop dance, progressive trance, edm, melodic dubstep, pop dance, melodic dubstep, pop edm, melodic dubstep"
Love Me Better (with Shift K3Y & Marc E. Bassy),"Dillon Francis, Shift K3Y, Marc E. Bassy","brostep, edm, electro house, moombahton, pop dance, progressive electro house, slap house, house, uk dance, indie pop rap"
Black Magic Woman,Madeaux,vapor twitch
My Game,The Beatangers,N/A
1 SIDED LOVE,blackbear,pop
All I Want (feat. Jake Shears) - Purple Disco Machine Extended Remix,"Boys Noize, Jake Shears, Purple Disco Machine","alternative dance, dance-punk, electro house, fidget house, filter house, german dance, german techno, new rave, strut, deep house, house"
Don't Care,NO SIGNE,N/A
Wrong for Me,Otherwise Fine,N/A
Leggo Shopping,Mikey Geiger,N/A
Saviour,"Hoaprox, YUAN, Haneri","v-pop, chinese electronic, singaporean pop"
Floating,GRiZ,"glitch hop, jamtronica, jazztronica, livetronica"
Love Language - SNBRN Remix,"Crooked Colours, SNBRN","vapor soul, edm, electro house, house, pop dance, pop edm"
Lost My Way,"LöKii, Lipless","N/A, N/A"
Us,Chace,chinese electronic
Make Me Feel,John Summit,"house, pop dance, tech house, uk dance"
Sweat on Me (Trice Remix),"Tape Machines, Trice, Vicki Vox","scandipop, N/A, N/A"
If This Has An End - Dr. Fresch Remix,"Dr. Fresch, Y LUV","bass house, electro house, shimmer pop"
luv(drunk),Conro,"canadian electronic, pop edm"
Don't Be So Shy - Filatov & Karas Remix,"Imany, Filatov & Karas","french indie pop, russian dance, russian edm, russian pop"
Pump It Up - Dastic Remix,"Danko, Dastic","slap house, big room, pop edm"
Don't Be Late - Original Mix,Woo2Tech,brazilian edm
Hesitation,Anzo,complextro
Bad Timing (with loren north) (Madnap Remix),"Andrey Azizov, loren north, Madnap","N/A, indie electropop, future bass"
Forget the Money,"Nick Bateman, Alan Watts","N/A, free folk, motivation"
Arty Boy - Dom Dolla 'Party Boy' Remix,"Flight Facilities, Emma Louise","aussietronica, australian dance, australian indie, indietronica, nu disco, australian indie, brisbane indie"
Mars,"Valy Mo, Charlotte Puppinck","N/A, N/A"
Pieces (feat. Gaby Zacara),"Aki Nair, Gaby Zacara","N/A, N/A"
Orbit,ellis,N/A
Ski,"Young Stoner Life, Young Thug, Gunna","pop rap, atl hip hop, atl trap, gangster rap, melodic rap, rap, trap, atl hip hop, melodic rap, rap, trap"
Good 4 Me,Vindata,"future bass, vapor twitch"
Sleepless In NYC,Autograf,"deep tropical house, pop edm, vapor soul, vapor twitch"
The Ocean (feat. Shy Martin),"Mike Perry, shy martin","pop dance, swedish tropical house, alt z, swedish electropop"
Montrose Ave,Y.V.E. 48,"deep tropical house, tropical house"
Goodbye (feat. Mat Kearney),"filous, Mat Kearney","deep tropical house, tropical house, acoustic pop, neo mellow"
California Dreamin',"Ian Storm, Carl Clarks, John Laurant","dutch edm, N/A, N/A"
Oránge,bad tuner,N/A
Stay The Night,"Just Kiddin, Camden Cox","house, uk dance, stutter house"
About Us (feat. EMME),"Le Youth, EMME","house, nu disco, uk dance, N/A"
You Might Be (feat. Lils) - GoldFish Remix,"Autograf, Lils, GoldFish","deep tropical house, pop edm, vapor soul, vapor twitch, N/A, cape town indie, downtempo, south african pop, south african pop dance"
Sensations - Whethan Remix,"Elohim, Whethan","electropop, indie poptimism, la pop, electropop, hyperpop, indie electropop, rage rap, vapor twitch"
Details (feat. Boy Matthews),"Oliver Heldens, Boy Matthews","dutch house, edm, electro house, future house, house, pop dance, progressive electro house, progressive house, uk dance"
Say It,"Phantoms, Anna Clendening","la pop, alt z"
You and Me,The Magician,"belgian edm, house, nu disco"
Heart Beating,Nora En Pure,"deep house, electra, house, progressive house, swiss pop"
Nightcrawler,"Duke Dumont, Say Lou Lou","edm, house, pop dance, progressive house, uk dance, metropopolis, swedish electropop, vapor pop"
The Longest Road - deadmau5 Remix Edit,"Morgan Page, Lissie, deadmau5","edm, electro house, pop dance, progressive house, folk-pop, canadian electronic, complextro, edm, electro house, pop dance, progressive house"
No Time - RÜFÜS DU SOL Remix,"Lastlings, RÜFÜS DU SOL","vapor soul, australian electropop, indietronica"
Honest,"San Holo, BROODS","brostep, edm, electro house, electronic trap, future bass, pop dance, auckland indie, etherpop, indietronica, metropopolis, nz pop"
Poison For Lovers,ARTY,"big room, edm, electro house, pop dance, progressive electro house, progressive house, russian edm"
Fear,"MYRNE, Manila Killa","future bass, gaming edm, melodic dubstep, pop edm, singaporean electronic, singaporean pop, vapor twitch, future bass, pop edm, vapor twitch"
Stay Forever (feat. STRFKR),"Whethan, STRFKR","electropop, hyperpop, indie electropop, rage rap, vapor twitch, indie rock, indietronica"
Are We Still Young,"Grant, Juneau","future bass, N/A"
Sirens,Icarus,"house, uk dance"
Passion - Hotel Garuda Remix,"RAC, Hotel Garuda, Louis The Child","indietronica, metropopolis, nu disco, shimmer pop, vapor twitch, edm, electropop, indie poptimism"
Lost Souls - Nora En Pure Remix,"Eelke Kleijn, Ost, Nora En Pure","dark progressive house, minimal melodic techno, N/A, deep house, electra, house, progressive house, swiss pop"
Moon Rider (feat. Wrabel),"Jai Wolf, Wrabel","electropop, alt z, indie poptimism"
ETERNAL NOW,"LSDREAM, Champagne Drip","N/A, brostep, glitch hop"
Memories,"Eden Prince, Nonô","dance pop, deep groove house, uk dance, N/A"
Wow.,Post Malone,"dfw rap, melodic rap, pop, rap"
The Business - 220 KID Remix,"Tiësto, 220 KID","big room, brostep, dutch edm, edm, house, pop dance, slap house, trance, pop dance, uk dance"
Seeing What's Next (Kev Frey Remix),"Hollywood Principle, Kev Frey","N/A, N/A"
Sacrificial,"Rezz, PVRIS","brostep, canadian electronic, edm, electra, electro house, pixie, pop emo, pop punk"
Places,"Drove, Dillon Francis","N/A, brostep, edm, electro house, moombahton, pop dance, progressive electro house, slap house"
All On Me (feat. Zhu),"Tchami, ZHU","deep groove house, edm, electro house, future house, house, pop dance, progressive house, edm, electro house"
About You,Solstis,future bass
Into You,"Sonny Fodera, Sinéad Harnett","house, pop dance, tech house, uk dance, alternative r&b, gauze pop, uk contemporary r&b"
You Were Right - Nora En Pure Remix,"RÜFÜS DU SOL, Nora En Pure","australian electropop, indietronica, deep house, electra, house, progressive house, swiss pop"
You Need Me (feat. Maxine Ashley & Sun-El Musician),"Black Coffee, Maxine Ashley, Sun-El Musician","south african house, south african pop, south african pop dance, N/A, afro soul, south african pop, south african pop dance"
Burn Like Fire,Shiba San,"bass house, french tech house, house, tech house"
Risky Business,ZHU,"edm, electro house"
F Boy,"Ander Huang, DJ Kuromi","N/A, N/A"
Away - TWO LANES Remix,"Benji Lewis, TWO LANES","N/A, uk dance"
Numb - Chill Mix,Elderbrook,uk dance
Beat Of My Heart,"Lost Frequencies, Love Harder","belgian edm, edm, pop dance, tropical house, N/A"
Nevermind,Dennis Lloyd,israeli pop
Alaska - Toby Green Remix,"Maggie Rogers, Toby Green","indie pop, dutch house, electro house, progressive electro house, sky room"
Love Tonight (Edit),Shouse,aussietronica
Just Friends,"Hayden James, Boy Matthews","aussietronica, gauze pop, house, uk dance"
House Arrest - Chris Lorenzo Remix,"Sofi Tukker, Gorgon City, Chris Lorenzo","edm, future garage, house, pop dance, uk dance, bass house, house, tech house"
Firework,Hollywood Principle,N/A
Hislerim,"Serhat Durmus, Zerrin","arab trap, turkish trap, N/A"
Magic Key - Original Mix,"Ballesteros, L. Lopez","N/A, N/A"
How You Love Me,"3LAU, Bright Lights","edm, electro house, mashup, pop dance, progressive electro house, progressive house, N/A"
Something Wonderful,"Fakear, Ana Zimmer","french indie pop, french indietronica, new french touch, N/A"
In the End,"Alex Lustig, Akacia","vapor twitch, N/A"
Gemini (feat. George Maple),"What So Not, George Maple","aussietronica, brostep, edm, electro house, electronic trap, escape room, vapor twitch, australian pop"
Waiting for You,Y.V.E. 48,"deep tropical house, tropical house"
Somewhere,"Slow Magic, Woven in Hiatus","chillwave, gauze pop, vapor twitch, lo-fi chill"
The Little Things (feat. Angela McCluskey) - Kasbo Remix,"Big Gigantic, Kasbo, Angela McCluskey","electronic trap, glitch hop, future bass, pop edm, swedish electropop, vapor twitch, scottish singer-songwriter"
Rock That Body,Black Eyed Peas,"dance pop, pop, pop rap"
BALENCIAGA,FILV,russian dance
Hear Me Now,"Alok, Zeeba, Bruno Martini","electro house, pop nacional, sertanejo universitario, slap house, N/A, brazilian edm, pop nacional"
Roll the Dice (Radio Edit) - Urban Contact Remix,"Dawa, Urban Contact","N/A, N/A"
Spark,Forester,stutter house
Empty Room - Cabu Remix,"Big Wild, Yuna, Cabu","N/A, malaysian pop, N/A"
Up in Flames,Łaszewo,indie electropop
The Way I Are,"Timbaland, Keri Hilson, D.O.E.","dance pop, pop, pop rap, dance pop, hip pop, r&b, urban contemporary, N/A"
The Drill,"Magnificence, 7 Skies","big room, progressive electro house, sky room, uplifting trance"
God Is A Dancer - James Hype Remix,"Tiësto, Mabel, James Hype","big room, brostep, dutch edm, edm, house, pop dance, slap house, trance, pop, uk pop, deep groove house, house, pop dance, uk dance"
Power,Interupt,bassline
Help Me Lose My Mind,"Disclosure, London Grammar","edm, house, indietronica, uk dance, metropopolis, nottingham indie"
I Like Your Booty,Shiba San,"bass house, french tech house, house, tech house"
Midnight,Where It's ATT,g-house
Young Blood,The Naked And Famous,"auckland indie, indietronica, kiwi rock, metropopolis, shimmer pop"
Blow Your Mind (Mwah),Dua Lipa,"dance pop, pop, uk pop"
Run,"Lane 8, Kasablanca","gauze pop, progressive house, N/A"
Feel Good,Syn Cole,"deep tropical house, edm, pop dance, progressive electro house, tropical house"
Another Brick Together - Original Mix,Teo Gorqui,N/A
Beautiful Light,Uppermost,complextro
The Business,Tiësto,"big room, brostep, dutch edm, edm, house, pop dance, slap house, trance"
The Darkness,Xilent,"brostep, complextro, electro house, filthstep, gaming dubstep, melodic dubstep, neurostep"
I Remember,"inverness, Jack Newsome","N/A, N/A"
Drivin Thru the Night,Petit Biscuit,new french touch
To Ü (feat. AlunaGeorge),"Jack Ü, Skrillex, Diplo, Aluna, AlunaGeorge","edm, electro house, pop dance, brostep, complextro, edm, electro, pop dance, dance pop, edm, electro house, moombahton, pop dance, dance pop, electropop, uk dance"
Silhouette - Feed Me Remix,"Bad Computer, Skyelle, Feed Me","complextro, N/A, brostep, complextro, edm, electro house, filthstep"
Dreams - 2004 Remaster,Fleetwood Mac,"album rock, classic rock, rock, soft rock, yacht rock"
Faith (feat. Marlena Shaw),"Tchami, Marlena Shaw","deep groove house, edm, electro house, future house, house, pop dance, progressive house, classic soul"
Breathe,ZABO,"canadian electronic, dark clubbing"
Fake Friends (feat. Alex Hosking) - Disciples Remix,"PS1, Alex Hosking, Disciples","uk dance, stutter house, house, pop dance, uk dance"
Be Randy,"Dom Dolla, Torren Foot","australian house, deep groove house, house, australian house"
Only The Gods (feat. Anabel Englund),"Disciples, Lee Foss, Anabel Englund","house, pop dance, uk dance, deep disco house, house, tech house, N/A"
On My Mind,Disciples,"house, pop dance, uk dance"
Angetenar,Rompasso,"g-house, pop edm, russian edm"
Better On My Own (feat. Anabel Englund),"Disciples, Anabel Englund","house, pop dance, uk dance, N/A"
Løve Me (Tom Budin Remix),"Torren Foot, Tom Budin","australian house, deep groove house, slap house, tech house"
All over Again (feat. Tzar),"Falcons, Tzar","vapor twitch, N/A"
Understand,James Oliver,N/A
Head & Heart (feat. MNEK),"Joel Corry, MNEK","dance pop, pop dance, uk dance, house, pop dance, uk contemporary r&b, uk dance, uk pop"
You & I,"Dallerium, CEA, Ferington","deep groove house, N/A, N/A"
Generate,Eric Prydz,"dutch house, edm, electro house, house, pop dance, progressive electro house, progressive house"
Right In Front Of Me,"Kaleena Zanders, Win and Woo","N/A, deep tropical house, pop edm"
Love Like That,"Kaskade, Dani Poppitt","edm, electro house, pop dance, progressive electro house, progressive house, vocal house, N/A"
Galaxies,"Stst, Squill, Eden Knight","N/A, N/A, N/A"
Secrets,"Regard, RAYE","pop dance, pop edm, slap house, uk dance, uk contemporary r&b, uk pop"
Oscillate,"Daktyl, Janelle Kroll","vapor twitch, indie electropop"
Sparking My Fire,"SACHI, ROE","nz electronic, nz pop, N/A"
Mayk Yu Myne?,1991,dancefloor dnb
Overthinking Rain,"Pierce Fulton, Noosa","complextro, pop edm, progressive electro house, shimmer pop"
Smile (with The Weeknd),"Juice WRLD, The Weeknd","chicago rap, melodic rap, rap, canadian contemporary r&b, canadian pop, pop"
Long Gone,Juice WRLD,"chicago rap, melodic rap, rap"
Teach Me How To Touch Me - KC Gilmore Remix,"Soane, KC Gilmore","N/A, N/A"
Infinite,Dreamers Delight,vapor twitch
Losing My Mind - Mandal & Forbes Remix,"Philip George, Saint Raymond, Mandal & Forbes","house, uk dance, hopebeat, indie anthem-folk, deep groove house"
Freedom,Ben Delay,groove room
The Boy Is Mine (feat. Alexandra Prince) - Radio Edit,"Ben Delay, Alexandra Prince","groove room, vocal trance"
Comfort Me (feat. MVRT),"BLR, MVRT","dutch edm, N/A"
We Got That Cool (feat. Afrojack & Icona Pop),"Yves V, AFROJACK, Icona Pop","belgian edm, dutch house, edm, electro house, pop dance, progressive electro house, progressive house, slap house, big room, dance pop, dutch house, edm, electro house, pop dance, candy pop, dance pop, electropop, metropopolis, swedish electropop, swedish synthpop"
Come With Me - Radio Mix,Nora En Pure,"deep house, electra, house, progressive house, swiss pop"
Working For It,"ZHU, Skrillex, THEY.","edm, electro house, brostep, complextro, edm, electro, pop dance, trap soul"
NUMB,"Hayden James, GRAACE","aussietronica, gauze pop, house, australian alternative pop"
Shrine - Hex Cougar Remix,"RL Grime, Freya Ridings, Hex Cougar","brostep, edm, electro house, electronic trap, uk pop, bass trap, electronic trap, future bass, la pop, melodic dubstep, vapor twitch"
I Never Felt so Right - Radio Mix,Ben Delay,groove room
Sweet Memories,"CID, Kaskade","bass house, deep groove house, dutch house, edm, electro house, house, pop dance, pop edm, progressive electro house, progressive house, tech house, uk dance, edm, electro house, pop dance, progressive electro house, progressive house, vocal house"
Need You,"Dillon Francis, NGHTMRE","brostep, edm, electro house, moombahton, pop dance, progressive electro house, slap house, brostep, edm, electro house, electronic trap"
Taj,"BLR, POOK","dutch edm, N/A"
Intoxicate,ZHU,"edm, electro house"
Just Us (feat. Liinks),"Ephwurd, Liinks","bass house, brostep, electro house, N/A"
Cola - ZHU Remix,"CamelPhat, Elderbrook, ZHU","deep tech house, house, progressive house, uk dance, uk dance, edm, electro house"
Without You,"SLANDER, Kayzo, Dylan Matthew","dubstep, brostep, speed house, singer-songwriter pop"
The Diner,"Kaskade, Sara Diamond","edm, electro house, pop dance, progressive electro house, progressive house, vocal house, canadian contemporary r&b, canadian electropop, canadian indie"
Touch,"Dillon Francis, BabyJake","brostep, edm, electro house, moombahton, pop dance, progressive electro house, slap house, singer-songwriter pop"
With You,Haywyre,"canadian electronic, complextro, future bass, vapor twitch"
Simple Hit,Dombresky,"bass house, electro house, house, tech house"
Never Go Back - Eden Prince Remix,"Dennis Lloyd, Eden Prince","israeli pop, dance pop, deep groove house, uk dance"
Afterlife,Drezo,"bass house, brostep, electro house"
Medicine - Eater Remix,"soulecist., Eater, Pipa Moran","N/A, N/A, N/A"
Temple,"Mad Burgerz, Ave","N/A, rock cristiano"
Strangers,Betical,new french touch
Swimboy,"Leotrix, Kinck","brostep, dubstep, gaming dubstep, scandinavian r&b"
Parallel Lines - Enzo Bennet Remix,"ATTLAS, Enzo Bennet","canadian electronic, N/A"
So High,WATEVA,estonian electronic
Until the Sun Needs to Rise,RÜFÜS DU SOL,"australian electropop, indietronica"
Return of the Mack,Mark Morrison,british soul
Mordecai,Khåen,N/A
Under the Sun,"Omar Morto, Albany Lore, Josh Hector","N/A, cape town indie, south african alternative, N/A"
First Breath,Kaivon,future bass
Ether,"Zeds Dead, Deathpact","brostep, canadian electronic, dubstep, edm, electro house, progressive electro house, dark clubbing"
Havin My Way (feat. Lil Durk),"Lil Skies, Lil Durk","melodic rap, chicago drill, chicago rap, drill, hip hop, rap, trap"
Storm (feat. Kyra Mastro),"Famba, Kyra Mastro","halifax indie, N/A"
House Arrest,"Sofi Tukker, Gorgon City","edm, future garage, house, pop dance, uk dance"
Like That,"NGHTMRE, Big Gigantic","brostep, edm, electro house, electronic trap, electronic trap, glitch hop"
Need U,DVBBS,"canadian electronic, dutch house, edm, electro house, pop dance, progressive electro house, slap house"
Undo - AWAY Remix,"RL Grime, Jeremih, Tory Lanez, AWAY","brostep, edm, electro house, electronic trap, chicago rap, pop rap, r&b, trap, urban contemporary, canadian hip hop, canadian trap, melodic rap, pop rap, r&b, rap, trap, traprun"
Down for Life,Deep Parliament,N/A
My Love,Koven,"chillstep, melodic dubstep"
Because You Move Me,"Tinlicker, Helsloot","progressive house, house"
Could U,GRiZ,"glitch hop, jamtronica, jazztronica, livetronica"
Peace,"Rocksted, Barja","brazilian edm, brazilian edm"
Eyes,RÜFÜS DU SOL,"australian electropop, indietronica"
In Your Head - RL Grime Edit,"G Jones, RL Grime","brostep, electronic trap, glitch hop, vapor twitch, brostep, edm, electro house, electronic trap"
Treat You Better,RÜFÜS DU SOL,"australian electropop, indietronica"
Some Minds (feat. Andrew Wyatt),"Flume, Andrew Wyatt","australian dance, australian electropop, australian indie, downtempo, edm, indietronica, nyc pop"
No Captain - Dirty South Remix,"Lane 8, POLIÇA, Dirty South","gauze pop, progressive house, indietronica, metropopolis, australian dance, dutch house, edm, electro house, pop dance, progressive electro house, progressive house"
Make It Right - Wankelmut Remix,"FDVM, Tyler Sjöström, Wankelmut","deep tropical house, N/A, deep euro house"
South Beach,Vicetone,"dutch house, edm, electro house, pop dance, progressive electro house"
